tag,count,datatypes
root.items.[].pureId,10,int
root.items.[].subTitle,3,dict
root.items.[].subTitle.value,3,str
root.items.[].systemName,10,str
root.items.[].title,10,dict
root.items.[].title.value,10,str
root.items.[].totalNumberOfContributors,10,int
root.items.[].type,10,dict
root.items.[].type.term,10,dict
root.items.[].type.term.en_GB,10,str
root.items.[].type.uri,10,str
root.items.[].typeDiscriminator,10,str
root.items.[].uuid,10,str
root.items.[].version,10,str
root.items.[].visibility,10,dict
root.items.[].visibility.description,10,dict
root.items.[].visibility.description.en_GB,10,str
root.items.[].visibility.key,10,str
root.items.[].volume,10,str
root.items.[].workflow,10,dict
root.items.[].workflow.description,10,dict
root.items.[].workflow.description.en_GB,10,str
root.items.[].workflow.step,10,str
root.pageInformation,1,dict
root.pageInformation.offset,1,int
root.pageInformation.size,1,int
